File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF655ZMR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CCB	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	EFO:0005483	ES-Bruce4	cell line	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document		1	1_1							/files/ENCFF533APC/	1031941	ENCODE Processing Pipeline	3de653f5be4f2a6a6cd7b4109e312249		https://www.encodeproject.org/files/ENCFF655ZMR/@@download/ENCFF655ZMR.bigBed				released	s3://encode-public/2023/01/12/03e7cc0f-a90a-40b4-8b85-99dde7a6a267/ENCFF655ZMR.bigBed	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/03e7cc0f-a90a-40b4-8b85-99dde7a6a267/ENCFF655ZMR.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 mm10	released	low read length, low read depth		
ENCFF002DAF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DKL	TF ChIP-seq		CLO:0034140	AG08470	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document											1044079	ENCODE Consortium Analysis Working Group	2f6d145f23e5f3e57f5e56f6e7027931		https://www.encodeproject.org/files/ENCFF002DAF/@@download/ENCFF002DAF.bed.gz				archived	s3://encode-public/2014/06/06/70d0ad5b-467d-40d5-b525-33ae15da348e/ENCFF002DAF.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2014/06/06/70d0ad5b-467d-40d5-b525-33ae15da348e/ENCFF002DAF.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	released			
ENCFF270VTF	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DKL	TF ChIP-seq		CLO:0034140	AG08470	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document										/files/ENCFF002DAF/	2166741	ENCODE Consortium	6a0c53b2a22a1f831bd4452b880d20ff		https://www.encodeproject.org/files/ENCFF270VTF/@@download/ENCFF270VTF.bigBed				archived	s3://encode-public/2015/06/02/a1a8e536-3229-4748-831a-788b3368913c/ENCFF270VTF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2015/06/02/a1a8e536-3229-4748-831a-788b3368913c/ENCFF270VTF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	released			
ENCFF869COG	bigWig	bigWig		signal p-value	GRCh38	ENCSR780OZE	TF ChIP-seq	/human-donors/ENCDO952UGS/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF276TPS/, /files/ENCFF475EQL/	756922816	ENCODE Processing Pipeline	a14dc677718e07905533806e2da1c936		https://www.encodeproject.org/files/ENCFF869COG/@@download/ENCFF869COG.bigWig				released	s3://encode-public/2021/02/04/8d06dda6-16f8-42a3-a8b1-8b59c2f696db/ENCFF869COG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/8d06dda6-16f8-42a3-a8b1-8b59c2f696db/ENCFF869COG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	antibody characterized with exemption, low read length		
ENCFF724EMP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR780OZE	TF ChIP-seq	/human-donors/ENCDO952UGS/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF276TPS/, /files/ENCFF356LFX/, /files/ENCFF475EQL/	340350	ENCODE Processing Pipeline	177bf3a93412c5033094e73b4db43f7f		https://www.encodeproject.org/files/ENCFF724EMP/@@download/ENCFF724EMP.bed.gz				released	s3://encode-public/2021/02/04/b4d4782e-86e6-4e09-befd-e77cadf118a7/ENCFF724EMP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/b4d4782e-86e6-4e09-befd-e77cadf118a7/ENCFF724EMP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	antibody characterized with exemption, low read length		
ENCFF173CEN	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR780OZE	TF ChIP-seq	/human-donors/ENCDO952UGS/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF724EMP/	634184	ENCODE Processing Pipeline	46c737df13c28d02dc0e71789dd5cd43		https://www.encodeproject.org/files/ENCFF173CEN/@@download/ENCFF173CEN.bigBed				released	s3://encode-public/2021/02/04/e097fd70-ce9f-48da-8739-fce93f69b6e0/ENCFF173CEN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/e097fd70-ce9f-48da-8739-fce93f69b6e0/ENCFF173CEN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	antibody characterized with exemption, low read length		
ENCFF029ADE	bigWig	bigWig		signal p-value	GRCh38	ENCSR634OAQ	TF ChIP-seq	/human-donors/ENCDO220OYR/	EFO:0001221	NCI-H929	cell line	Homo sapiens										CTCF-human	DNA						2017-11-29	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 2_1							/files/ENCFF181CXT/, /files/ENCFF534XTA/, /files/ENCFF295UVQ/, /files/ENCFF686KKV/	2066083559	ENCODE Processing Pipeline	c64042d34a48b44a897a2dbd4482b1e5		https://www.encodeproject.org/files/ENCFF029ADE/@@download/ENCFF029ADE.bigWig				released	s3://encode-public/2021/02/02/44e7047e-dace-4474-964c-df849dffdda6/ENCFF029ADE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/44e7047e-dace-4474-964c-df849dffdda6/ENCFF029ADE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF305JAB	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR634OAQ	TF ChIP-seq	/human-donors/ENCDO220OYR/	EFO:0001221	NCI-H929	cell line	Homo sapiens										CTCF-human	DNA						2017-11-29	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 2_1							/files/ENCFF238DAA/	2460681	ENCODE Processing Pipeline	ec4770b0d79665d8cfce9073d49b23d9		https://www.encodeproject.org/files/ENCFF305JAB/@@download/ENCFF305JAB.bigBed				released	s3://encode-public/2021/02/02/29fe68f6-f131-4265-a5d2-60e12f92eeda/ENCFF305JAB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/29fe68f6-f131-4265-a5d2-60e12f92eeda/ENCFF305JAB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF238DAA	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR634OAQ	TF ChIP-seq	/human-donors/ENCDO220OYR/	EFO:0001221	NCI-H929	cell line	Homo sapiens										CTCF-human	DNA						2017-11-29	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 2_1							/files/ENCFF295UVQ/, /files/ENCFF686KKV/, /files/ENCFF534XTA/, /files/ENCFF356LFX/, /files/ENCFF181CXT/	1071018	ENCODE Processing Pipeline	f5f51fce3e839b57d14cd19d63bea79c		https://www.encodeproject.org/files/ENCFF238DAA/@@download/ENCFF238DAA.bed.gz				released	s3://encode-public/2021/02/02/e4819c92-4c03-41ba-b779-624215bed7d1/ENCFF238DAA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/e4819c92-4c03-41ba-b779-624215bed7d1/ENCFF238DAA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF610LAS	bigWig	bigWig		signal p-value	GRCh38	ENCSR336PTS	TF ChIP-seq	/human-donors/ENCDO371NVV/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF317HVE/, /files/ENCFF067TQJ/	723697510	ENCODE Processing Pipeline	eb3a50795da29c8b2cf0e386218fb037		https://www.encodeproject.org/files/ENCFF610LAS/@@download/ENCFF610LAS.bigWig				released	s3://encode-public/2021/02/04/de8c2a4b-6837-4a05-b795-3ba4866d7e58/ENCFF610LAS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/de8c2a4b-6837-4a05-b795-3ba4866d7e58/ENCFF610LAS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption		
ENCFF406EOR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR336PTS	TF ChIP-seq	/human-donors/ENCDO371NVV/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF356LFX/, /files/ENCFF317HVE/, /files/ENCFF067TQJ/	566189	ENCODE Processing Pipeline	1ec204676c49b2a3d63956ca42ebe126		https://www.encodeproject.org/files/ENCFF406EOR/@@download/ENCFF406EOR.bed.gz				released	s3://encode-public/2021/02/04/f348f10a-e593-4fed-a7af-7158cb7c44c2/ENCFF406EOR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/f348f10a-e593-4fed-a7af-7158cb7c44c2/ENCFF406EOR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption		
ENCFF173NJK	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR336PTS	TF ChIP-seq	/human-donors/ENCDO371NVV/	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										CTCF-human	DNA						2017-12-08	ENCODE		sonication (generic)	300-600	1	1_1							/files/ENCFF406EOR/	996666	ENCODE Processing Pipeline	7e08b896293a17f663198d676a8427d2		https://www.encodeproject.org/files/ENCFF173NJK/@@download/ENCFF173NJK.bigBed				released	s3://encode-public/2021/02/04/a2eb565c-c5be-43b1-a9f3-136bf8557d6d/ENCFF173NJK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/a2eb565c-c5be-43b1-a9f3-136bf8557d6d/ENCFF173NJK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption		
ENCFF630IOW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	dm6	ENCSR918GXT	TF ChIP-seq	/fly-donors/ENCDO995VAO/	EFO:0005836	S2	cell line	Drosophila melanogaster										CTCF-dmelanogaster	DNA						2018-02-05	modENCODE			>200	1, 2	1_1, 2_1							/files/ENCFF540WOF/, /files/ENCFF606SSA/, /files/ENCFF558QVP/	57387	Kevin White, UChicago	60f445cfce54d9abc256b90324de12d0		https://www.encodeproject.org/files/ENCFF630IOW/@@download/ENCFF630IOW.bed.gz				released	s3://encode-public/2017/12/24/a8493209-9c10-4d53-8b6a-0d075699d2ea/ENCFF630IOW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/24/a8493209-9c10-4d53-8b6a-0d075699d2ea/ENCFF630IOW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom dm6	released			
ENCFF331KMZ	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	dm6	ENCSR918GXT	TF ChIP-seq	/fly-donors/ENCDO995VAO/	EFO:0005836	S2	cell line	Drosophila melanogaster										CTCF-dmelanogaster	DNA						2018-02-05	modENCODE			>200	1, 2	1_1, 2_1							/files/ENCFF630IOW/	155371	Kevin White, UChicago	b6852ec78ddbfb0560ecd7ea1b6096dc		https://www.encodeproject.org/files/ENCFF331KMZ/@@download/ENCFF331KMZ.bigBed				released	s3://encode-public/2017/12/24/bfa86f51-fc61-4bdb-9ade-e121bc2445bd/ENCFF331KMZ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/12/24/bfa86f51-fc61-4bdb-9ade-e121bc2445bd/ENCFF331KMZ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom dm6	released			
ENCFF381ZRL	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	dm6	ENCSR711UTK	TF ChIP-seq	/fly-donors/ENCDO995VAO/	EFO:0005836	S2	cell line	Drosophila melanogaster										CTCF-dmelanogaster	DNA						2018-02-05	modENCODE			>200	1, 2	1_1, 2_1							/files/ENCFF242ITR/	168315	Kevin White, UChicago	874edb81be6e6977e79eb7681a547a4f		https://www.encodeproject.org/files/ENCFF381ZRL/@@download/ENCFF381ZRL.bigBed				released	s3://encode-public/2017/12/24/51f86677-80da-4802-9c96-b562305f6a78/ENCFF381ZRL.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/12/24/51f86677-80da-4802-9c96-b562305f6a78/ENCFF381ZRL.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom dm6	released			
